,fraudulent,customer.customerEmail,customer.customerPhone,customer.customerDevice,customer.customerIPAddress,customer.customerBillingAddress,transactionId,orderId,paymentMethodId,transactionAmount,transactionFailed,orderState,orderShippingAddress,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer
0,False,josephhoward@yahoo.com,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",a9lcj51r,vjbdvd,wt07xm68b,18,False,pending,"5493 Jones Islands
Brownside, CA 51896",True,card,JCB 16 digit,Citizens First Banks
1,False,josephhoward@yahoo.com,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",y4wcv03i,yp6x27,wt07xm68b,26,False,fulfilled,"5493 Jones Islands
Brownside, CA 51896",True,card,JCB 16 digit,Citizens First Banks
2,True,evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",5mi94sfw,nlghpa,41ug157xz,45,False,fulfilled,"898 Henry Ports
New Keithview, CA 95893-2497",False,bitcoin,American Express,Bastion Banks
3,True,evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",br8ba1nu,uw0eeb,41ug157xz,23,False,fulfilled,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",False,bitcoin,American Express,Bastion Banks
4,True,evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",a33145ss,bn44oh,y3xp697jx,43,True,fulfilled,"5093 Bryan Forks
Joshuaton, FM 01565-9801",True,bitcoin,VISA 16 digit,Solace Banks
5,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",q3lyvbza,yk34y2,8pneoi03z,33,False,failed,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,card,JCB 16 digit,Bastion Banks
6,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",3alf9irw,28v6b0,8pneoi03z,24,True,fulfilled,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,card,JCB 16 digit,Bastion Banks
7,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",69w9wymx,28v6b0,8pneoi03z,24,False,fulfilled,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",False,card,JCB 16 digit,Bastion Banks
8,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",pegqc4ud,itnk8y,dluy3jka0,25,True,fulfilled,"22396 Victor Lights
Carsonstad, MO 93914",False,card,Discover,His Majesty Bank Corp.
9,False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",uo3slwh7,itnk8y,8pneoi03z,25,False,fulfilled,"22396 Victor Lights
Carsonstad, MO 93914",False,card,JCB 16 digit,Bastion Banks
